preferred_fc,demand_share,network
AZ-852,0.04049506767615463,15FC
CA-900,0.09107284623517754,15FC
CA-945,0.04225045622265194,15FC
CO-802,0.05595679829793931,15FC
FL-331,0.05934770528532836,15FC
GA-303,0.08295173508047861,15FC
IL-606,0.11452963090060483,15FC
MA-021,0.04843381767019337,15FC
MI-481,0.08328321137250923,15FC
NC-275,0.05741503058264195,15FC
NJ-070,0.17553964865043048,15FC
TX-750,0.050843091792763875,15FC
TX-770,0.04596548649559361,15FC
UT-841,0.018941653687596902,15FC
WA-980,0.032973820049935466,15FC
