preferred_fc,market_type,demand_share,network
AZ-852,Primary,0.03086296919027586,15FC
AZ-852,Secondary,0.009632098485878766,15FC
CA-900,Primary,0.07792997465630767,15FC
CA-900,Secondary,0.013142871578869862,15FC
CA-945,Primary,0.031221458506104947,15FC
CA-945,Secondary,0.011028997716546989,15FC
CO-802,Primary,0.045015215658404995,15FC
CO-802,Secondary,0.007192732336797189,15FC
CO-802,Tertiary,0.003748850302737117,15FC
FL-331,Primary,0.05337157902036112,15FC
FL-331,Secondary,0.00597612626496724,15FC
GA-303,Primary,0.037432898978384005,15FC
GA-303,Secondary,0.042991398875422415,15FC
GA-303,Tertiary,0.002527437226672197,15FC
IL-606,Primary,0.07394255314338932,15FC
IL-606,Secondary,0.040587077757215505,15FC
MA-021,Primary,0.04174374277623739,15FC
MA-021,Secondary,0.0065418737633907865,15FC
MA-021,Tertiary,0.00014820113056519604,15FC
MI-481,Primary,0.044627665316973146,15FC
MI-481,Secondary,0.038655546055536075,15FC
NC-275,Primary,0.019149038870303246,15FC
NC-275,Secondary,0.0382659917123387,15FC
NJ-070,Primary,0.15769646893058914,15FC
NJ-070,Secondary,0.017843179719841333,15FC
TX-750,Primary,0.02788988457098831,15FC
TX-750,Secondary,0.022953207221775563,15FC
TX-770,Primary,0.030594584953829346,15FC
TX-770,Secondary,0.010614434351316664,15FC
TX-770,Tertiary,0.004756467190447595,15FC
UT-841,Primary,0.014302427600438717,15FC
UT-841,Secondary,0.003718015275571458,15FC
UT-841,Tertiary,0.0009212108115867251,15FC
WA-980,Primary,0.025035045055874696,15FC
WA-980,Secondary,0.007730491810563286,15FC
WA-980,Tertiary,0.00020828318349748467,15FC
