market_type,distance_bucket,demand_share,network
Primary,<50,0.03145677671342029,4FC
Primary,51-150,0.019178076895885746,4FC
Primary,151-300,0.19224742736998354,4FC
Primary,301-600,0.384355568617256,4FC
Primary,601-1000,0.08357765763191638,4FC
Primary,1001-1400,0.0,4FC
Primary,1401-1800,0.0,4FC
Primary,>1800,0.0,4FC
Secondary,<50,0.0037470743011724598,4FC
Secondary,51-150,0.027147814917224945,4FC
Secondary,151-300,0.0759100788767795,4FC
Secondary,301-600,0.11717727123317596,4FC
Secondary,601-1000,0.05289180359767898,4FC
Secondary,1001-1400,0.0,4FC
Secondary,1401-1800,0.0,4FC
Secondary,>1800,0.0,4FC
Tertiary,<50,0.0,4FC
Tertiary,51-150,0.0,4FC
Tertiary,151-300,0.0,4FC
Tertiary,301-600,0.009038165962624214,4FC
Tertiary,601-1000,0.003272283882882101,4FC
Tertiary,1001-1400,0.0,4FC
Tertiary,1401-1800,0.0,4FC
Tertiary,>1800,0.0,4FC
