zip3,market_type,pmf_norm,preferred_fc,preferred_fc_zip3,preferred_fc_distance,preferred_bucket,fc_set,fc_count,cluster_id,lat,lon
10,Primary,0.0020217497811615,NY-134,134,153,151-300,['NY-134'],1,7,42.22159842,-72.57355816
11,Primary,0.0011595770215873,NY-134,134,156,151-300,['NY-134'],1,7,42.10577295,-72.58373891
12,Secondary,0.000564768497561,NY-134,134,117,51-150,['NY-134'],1,7,42.39659452,-73.23757603
13,Primary,0.0001482011305651,NY-134,134,146,51-150,['NY-134'],1,7,42.57895574,-72.54004426
14,Primary,0.0007430106545923,NY-134,134,188,151-300,['NY-134'],1,7,42.56623253,-71.6967241
15,Primary,0.0014569812836005,NY-134,134,191,151-300,['NY-134'],1,7,42.24197516,-71.76761484
16,Primary,0.0008030917075237,NY-134,134,189,151-300,['NY-134'],1,7,42.26459123,-71.79338084
17,Primary,0.0011896180480535,NY-134,134,206,151-300,['NY-134'],1,7,42.33511609,-71.41725034
18,Primary,0.0027948004622192,NY-134,134,212,151-300,['NY-134'],1,7,42.60905578,-71.20474104
19,Primary,0.0022600729911243,NY-134,134,226,151-300,['NY-134'],1,7,42.55964044,-70.9448446
20,Primary,0.0016051824141657,NY-134,134,223,151-300,['NY-134'],1,7,42.18647637,-71.14535043
21,Primary,0.0056486819764888,NY-134,134,223,151-300,['NY-134'],1,7,42.35170427,-71.07717596
22,Primary,0.0002974042620131,NY-134,134,223,151-300,['NY-134'],1,7,42.35386118,-71.06993122
23,Primary,0.0019917087546954,NY-134,134,234,151-300,['NY-134'],1,7,42.07787459,-70.96676733
24,Primary,0.0006538895760767,NY-134,134,217,151-300,['NY-134'],1,7,42.35635691,-71.1822087
25,Primary,0.0004756464190444,NY-134,134,265,151-300,['NY-134'],1,7,41.61678456,-70.56772206
26,Primary,0.0006248495504924,NY-134,134,278,151-300,['NY-134'],1,7,41.71246484,-70.23067692
27,Primary,0.0021709519126086,NY-134,134,235,151-300,['NY-134'],1,7,41.77048621,-71.09835991
28,Primary,0.002764759435753,NY-134,134,220,151-300,['NY-134'],1,7,41.70319953,-71.46661189
29,Primary,0.0016652644670979,NY-134,134,219,151-300,['NY-134'],1,7,41.8087759,-71.42421299
30,Primary,0.0014569812836005,NY-134,134,198,151-300,['NY-134'],1,7,42.84900883,-71.43806364
31,Primary,0.0003865253405288,NY-134,134,196,151-300,['NY-134'],1,7,42.99436347,-71.4652
32,Primary,0.0007430106545923,NY-134,134,190,151-300,['NY-134'],1,7,43.48417588,-71.60856181
33,Primary,0.000267363235547,NY-134,134,191,151-300,['NY-134'],1,7,43.2209,-71.55933
34,Primary,0.0001782421570313,NY-134,134,159,151-300,['NY-134'],1,7,42.93445679,-72.20745802
35,Secondary,0.0001191621049818,NY-134,134,218,151-300,['NY-134'],1,7,44.5527,-71.45347544
37,Secondary,0.0002974042620131,NY-134,134,164,151-300,['NY-134'],1,7,43.68600566,-72.16861698
38,Primary,0.0016352234406318,NY-134,134,218,151-300,['NY-134'],1,7,43.24875168,-71.02708603
39,Primary,0.0001482011305651,NY-134,134,234,151-300,['NY-134'],1,7,43.18603846,-70.71189487
40,Primary,0.0011595770215873,NY-134,134,249,151-300,['NY-134'],1,7,43.70327886,-70.459
41,Primary,0.0008030917075237,NY-134,134,258,151-300,['NY-134'],1,7,43.65348226,-70.26322312
42,Secondary,0.0002974042620131,NY-134,134,261,151-300,['NY-134'],1,7,44.27333841,-70.36711325
43,Secondary,0.0002082831834974,NY-134,134,289,151-300,['NY-134'],1,7,44.28428242,-69.79427473
44,Secondary,0.0003865253405288,NY-134,134,351,301-600,['NY-134'],1,7,45.02228895,-68.79468837
46,Secondary,0.0001482011305651,NY-134,134,379,301-600,['NY-134'],1,7,44.59146195,-68.03332566
47,Tertiary,0.0001482011305651,NY-134,134,433,301-600,['NY-134'],1,7,46.72181325,-68.11694217
48,Secondary,0.0002082831834974,NY-134,134,320,301-600,['NY-134'],1,7,44.15387451,-69.11161961
49,Secondary,0.000267363235547,NY-134,134,304,301-600,['NY-134'],1,7,44.70606,-69.65431842
50,Secondary,0.0001191621049818,NY-134,134,157,151-300,['NY-134'],1,7,43.7951267,-72.35990682
51,Primary,0.0001191621049818,NY-134,134,141,51-150,['NY-134'],1,7,43.28894746,-72.55720508
52,Secondary,8.910007849716916e-05,NY-134,134,112,51-150,['NY-134'],1,7,43.06891636,-73.12794727
53,Primary,8.910007849716916e-05,NY-134,134,132,51-150,['NY-134'],1,7,42.94292113,-72.7295507
54,Secondary,0.0006248495504924,NY-134,134,149,51-150,['NY-134'],1,7,44.54390303,-73.10620947
56,Secondary,0.0003274452884792,NY-134,134,161,151-300,['NY-134'],1,7,44.3038876,-72.57091405
57,Secondary,0.0003564843140626,NY-134,134,120,51-150,['NY-134'],1,7,43.69014437,-73.07828411
60,Primary,0.0023491950696408,NY-134,134,124,51-150,['NY-134'],1,7,41.9682,-73.4412
61,Primary,0.0007730516810585,NY-134,134,159,151-300,['NY-134'],1,7,41.5522,-73.0443
62,Primary,0.0006248495504924,NY-134,134,183,151-300,['NY-134'],1,7,41.6929,-72.3122
63,Primary,0.0013378191786186,NY-134,134,195,151-300,['NY-134'],1,7,41.6163,-72.0827
64,Primary,0.0023191540431747,NY-134,134,190,151-300,['NY-134'],1,7,41.3877,-72.4336
65,Primary,0.0010113748910212,NY-134,134,209,151-300,['NY-134'],1,7,40.75607573,-72.78328693
66,Primary,0.0009512938380898,NY-134,134,172,151-300,['NY-134'],1,7,41.1777,-73.1933
67,Primary,0.0008621727595742,NY-134,134,159,151-300,['NY-134'],1,7,41.5522,-73.0443
68,Primary,0.0018134655976631,NY-134,134,169,151-300,['NY-134'],1,7,41.0788,-73.4713
69,Primary,0.0003564843140626,NY-134,134,166,151-300,['NY-134'],1,7,41.1003,-73.549
70,Primary,0.0081170381511106,NY-134,134,180,151-300,['NY-134'],1,7,40.6674,-74.1146
71,Primary,0.0019626687291111,NY-134,134,174,151-300,['NY-134'],1,7,40.7339,-74.1617
72,Primary,0.0013378191786186,NY-134,134,175,151-300,['NY-134'],1,7,40.6965,-74.267
73,Primary,0.0009212528116237,NY-134,134,178,151-300,['NY-134'],1,7,40.7148,-74.0371
