zip3,market_type,fc,pmf_alloc,distance_bucket
10,Primary,GA-303,0.0018195748030453499,601-1000
11,Primary,GA-303,0.0010436193194285702,601-1000
12,Secondary,GA-303,0.0005082916478049,601-1000
13,Primary,GA-303,0.00013338101750859,601-1000
14,Primary,GA-303,0.00066870958913307,601-1000
15,Primary,GA-303,0.0013112831552404502,601-1000
16,Primary,GA-303,0.00072278253677133,601-1000
17,Primary,GA-303,0.00107065624324815,601-1000
18,Primary,GA-303,0.00251532041599728,601-1000
19,Primary,GA-303,0.00203406569201187,601-1000
20,Primary,GA-303,0.00144466417274913,601-1000
21,Primary,GA-303,0.005083813778839921,601-1000
22,Primary,GA-303,0.00026766383581179,601-1000
23,Primary,GA-303,0.00179253787922586,601-1000
24,Primary,GA-303,0.0005885006184690299,601-1000
25,Primary,GA-303,0.00042808177713996005,601-1000
26,Primary,GA-303,0.0005623645954431599,601-1000
27,Primary,GA-303,0.00195385672134774,601-1000
28,Primary,GA-303,0.0024882834921777,601-1000
29,Primary,GA-303,0.00149873802038811,601-1000
30,Primary,GA-303,0.0013112831552404502,601-1000
31,Primary,GA-303,0.00034787280647592,601-1000
32,Primary,GA-303,0.00066870958913307,601-1000
33,Primary,GA-303,0.0002406269119923,601-1000
34,Primary,GA-303,0.00016041794132817,601-1000
35,Secondary,GA-303,0.00010724589448361999,1001-1400
37,Secondary,GA-303,0.00026766383581179,601-1000
38,Primary,GA-303,0.00147170109656862,601-1000
39,Primary,GA-303,0.00013338101750859,601-1000
40,Primary,GA-303,0.0010436193194285702,1001-1400
41,Primary,GA-303,0.00072278253677133,1001-1400
42,Secondary,GA-303,0.00026766383581179,1001-1400
43,Secondary,GA-303,0.00018745486514766,1001-1400
44,Secondary,GA-303,0.00034787280647592,1001-1400
46,Secondary,GA-303,0.00013338101750859,1001-1400
47,Tertiary,GA-303,0.00013338101750859,1001-1400
48,Secondary,GA-303,0.00018745486514766,1001-1400
49,Secondary,GA-303,0.0002406269119923,1001-1400
50,Secondary,GA-303,0.00010724589448361999,601-1000
51,Primary,GA-303,0.00010724589448361999,601-1000
52,Secondary,GA-303,8.019007064745225e-05,601-1000
53,Primary,GA-303,8.019007064745225e-05,601-1000
54,Secondary,GA-303,0.0005623645954431599,601-1000
56,Secondary,GA-303,0.00029470075963128,601-1000
57,Secondary,GA-303,0.00032083588265634,601-1000
60,Primary,GA-303,0.0021142755626767204,601-1000
61,Primary,GA-303,0.0006957465129526501,601-1000
62,Primary,GA-303,0.0005623645954431599,601-1000
63,Primary,GA-303,0.00120403726075674,601-1000
64,Primary,GA-303,0.00208723863885723,601-1000
65,Primary,GA-303,0.00091023740191908,601-1000
66,Primary,GA-303,0.0008561644542808201,601-1000
67,Primary,GA-303,0.00077595548361678,601-1000
68,Primary,GA-303,0.00163211903789679,601-1000
69,Primary,GA-303,0.00032083588265634,601-1000
70,Primary,GA-303,0.00730533433599954,601-1000
71,Primary,GA-303,0.00176640185619999,601-1000
72,Primary,GA-303,0.00120403726075674,601-1000
73,Primary,GA-303,0.0008291275304613301,601-1000
74,Primary,GA-303,0.00109679136627312,601-1000
75,Primary,GA-303,0.0008561644542808201,601-1000
76,Primary,GA-303,0.0018195748030453499,601-1000
77,Primary,GA-303,0.00203406569201187,601-1000
78,Primary,GA-303,0.00099044727258402,601-1000
79,Primary,GA-303,0.0006425735661072901,601-1000
80,Primary,GA-303,0.00363914870608998,601-1000
81,Primary,GA-303,0.0006425735661072901,601-1000
82,Primary,GA-303,0.0005885006184690299,601-1000
83,Primary,GA-303,0.001364455202085,601-1000
84,Primary,GA-303,0.00037490973029541,601-1000
85,Primary,GA-303,0.0008291275304613301,601-1000
86,Primary,GA-303,0.0008832013781004001,601-1000
