market_type,distance_bucket,demand_share
Primary,1001-1400,0.04533074403638481
Primary,1401-1800,0.04294970643869091
Primary,151-300,0.01295151001027965
Primary,301-600,0.1605271771244382
Primary,51-150,0.0055659667036161604
Primary,601-1000,0.23992060397004578
Primary,<50,0.01707191524035711
Primary,>1800,0.11541633298178713
Secondary,1001-1400,0.016617617340119198
Secondary,1401-1800,0.007466634278104216
Secondary,151-300,0.0411012542102027
Secondary,301-600,0.07549196030841192
Secondary,51-150,0.010247835628342531
Secondary,601-1000,0.0702719944096211
Secondary,>1800,0.02798934245860956
Tertiary,1001-1400,0.002061082815813602
Tertiary,1401-1800,0.0010434708192975238
Tertiary,301-600,0.00655551397540737
Tertiary,601-1000,0.0012318823852882342
Tertiary,>1800,0.00018745486514766
