ZIP3,GA-303,NY-134,TX-799,UT-841,AZ-852,CA-900,CA-945,CO-802,FL-331,IL-606,MA-021,MI-481,NC-275,NJ-070,TX-750,TX-770,WA-980
10,863,153,1992,2025,2214,2522,2605,1694,1214,776,77,558,548,134,1474,1533,2422
11,858,156,1990,2026,2213,2522,2606,1694,1206,776,79,558,542,127,1471,1529,2425
12,845,117,1960,1989,2181,2488,2569,1659,1212,741,111,523,538,128,1446,1508,2386
13,880,146,1998,2022,2217,2523,2602,1694,1237,776,76,558,569,155,1483,1546,2413
14,913,188,2040,2065,2260,2566,2645,1737,1254,819,35,601,595,181,1524,1584,2452
15,897,191,2033,2065,2256,2564,2645,1735,1232,817,36,599,576,163,1514,1571,2459
16,897,189,2032,2064,2254,2562,2644,1734,1233,815,37,597,576,163,1513,1570,2457
17,915,206,2051,2082,2274,2581,2662,1752,1246,834,17,616,593,181,1533,1590,2472
18,935,212,2065,2089,2285,2591,2669,1761,1268,844,19,626,614,202,1549,1608,2473
19,944,226,2078,2102,2298,2604,2683,1775,1271,858,16,640,621,210,1561,1618,2487
20,921,223,2064,2097,2287,2596,2677,1767,1243,849,12,631,595,186,1543,1598,2489
21,930,223,2069,2098,2291,2598,2679,1770,1255,852,0,634,606,196,1550,1606,2487
22,931,223,2069,2099,2292,2599,2679,1770,1255,852,0,634,606,196,1550,1607,2487
23,924,234,2072,2108,2296,2605,2688,1777,1241,859,20,641,596,190,1550,1603,2501
24,926,217,2064,2093,2286,2593,2673,1764,1253,846,5,628,602,192,1545,1601,2482
25,925,265,2088,2134,2316,2628,2714,1801,1223,882,57,665,591,196,1562,1610,2533
26,943,278,2106,2150,2334,2645,2730,1818,1238,899,62,681,608,215,1581,1628,2546
27,907,235,2062,2105,2289,2600,2685,1773,1219,854,40,636,577,175,1538,1589,2504
28,888,220,2042,2088,2270,2581,2668,1754,1206,835,49,618,560,155,1519,1569,2489
29,894,219,2046,2088,2272,2583,2668,1756,1214,837,42,619,567,161,1523,1574,2488
30,936,198,2056,2074,2274,2578,2654,1748,1277,832,39,614,618,204,1543,1604,2455
31,941,196,2057,2071,2273,2577,2651,1746,1286,830,49,613,625,211,1544,1608,2450
32,956,190,2056,2058,2268,2568,2638,1737,1313,824,83,607,647,233,1549,1617,2429
33,947,191,2055,2064,2270,2571,2644,1740,1298,826,65,608,634,220,1545,1610,2439
34,909,159,2019,2035,2236,2539,2615,1709,1266,793,70,575,598,185,1507,1572,2418
35,1011,218,2079,2056,2282,2575,2635,1742,1384,837,153,623,711,301,1582,1659,2406
36,917,153,2018,2026,2232,2533,2606,1702,1282,788,86,570,611,199,1509,1577,2405
37,944,164,2031,2029,2241,2540,2608,1708,1315,796,107,580,642,231,1527,1599,2398
38,969,218,2082,2090,2296,2598,2670,1767,1311,853,62,635,653,239,1571,1635,2462
39,979,234,2097,2106,2312,2614,2686,1783,1315,869,61,651,660,247,1585,1648,2479
40,1011,249,2115,2113,2327,2625,2693,1793,1352,882,98,665,695,281,1608,1675,2475
41,1016,258,2125,2123,2336,2635,2703,1803,1354,892,99,675,699,286,1616,1682,2485
42,1039,261,2128,2112,2334,2629,2691,1796,1389,889,137,674,728,314,1625,1697,2463
43,1061,289,2156,2140,2362,2657,2719,1825,1403,917,148,702,747,333,1652,1722,2488
44,1132,351,2214,2181,2415,2705,2759,1872,1472,971,217,758,818,404,1716,1789,2513
45,1055,293,2160,2152,2370,2667,2731,1834,1387,925,133,708,737,323,1653,1720,2506
46,1144,379,2245,2223,2451,2744,2801,1911,1465,1006,218,791,823,411,1742,1810,2559
47,1231,433,2271,2201,2458,2736,2775,1904,1590,1022,335,816,928,514,1788,1873,2498
48,1083,320,2187,2175,2396,2691,2754,1859,1412,951,159,735,764,351,1682,1749,2523
49,1085,304,2168,2143,2371,2663,2721,1830,1432,927,178,713,774,359,1669,1742,2483
50,942,157,2024,2018,2232,2530,2598,1698,1318,787,119,571,643,234,1521,1594,2386
51,911,141,2006,2013,2220,2521,2593,1690,1282,776,99,558,608,198,1499,1568,2391
52,880,112,1975,1987,2190,2492,2567,1662,1257,746,116,529,580,173,1467,1536,2371
53,889,132,1993,2008,2209,2513,2589,1682,1257,766,94,548,583,173,1483,1549,2393
54,953,149,2000,1975,2201,2493,2554,1660,1353,757,183,543,668,272,1506,1589,2331
56,959,161,2021,2003,2225,2520,2582,1687,1347,781,154,566,667,263,1524,1603,2362
