ZIP3,Market,State
10,Primary,MA
11,Primary,MA
12,Secondary,MA
13,Primary,MA
14,Primary,MA
15,Primary,MA
16,Primary,MA
17,Primary,MA
18,Primary,MA
19,Primary,MA
20,Primary,MA
21,Primary,MA
22,Primary,MA
23,Primary,MA
24,Primary,MA
25,Primary,MA
26,Primary,MA
27,Primary,MA
28,Primary,RI
29,Primary,RI
30,Primary,NH
31,Primary,NH
32,Primary,NH
33,Primary,NH
34,Primary,NH
35,Secondary,NH
36,Primary,NH
37,Secondary,NH
38,Primary,NH
39,Primary,ME
40,Primary,ME
41,Primary,ME
42,Secondary,ME
43,Secondary,ME
44,Secondary,ME
45,Secondary,ME
46,Secondary,ME
47,Tertiary,ME
48,Secondary,ME
49,Secondary,ME
50,Secondary,VT
51,Primary,VT
52,Secondary,VT
53,Primary,VT
54,Secondary,VT
56,Secondary,VT
57,Secondary,VT
58,Secondary,VT
59,Secondary,VT
60,Primary,CT
61,Primary,CT
62,Primary,CT
63,Primary,CT
64,Primary,CT
65,Primary,CT
66,Primary,CT
67,Primary,CT
68,Primary,CT
69,Primary,CT
70,Primary,NJ
71,Primary,NJ
72,Primary,NJ
73,Primary,NJ
74,Primary,NJ
75,Primary,NJ
76,Primary,NJ
77,Primary,NJ
78,Primary,NJ
79,Primary,NJ
80,Primary,NJ
81,Primary,NJ
82,Primary,NJ
83,Primary,NJ
84,Primary,NJ
85,Primary,NJ
86,Primary,NJ
87,Primary,NJ
88,Primary,NJ
89,Primary,NJ
100,Primary,NY
101,Primary,NY
102,Primary,NY
103,Primary,NY
104,Primary,NY
105,Primary,NY
106,Primary,NY
107,Primary,NY
108,Primary,NY
109,Primary,NY
110,Primary,NY
111,Primary,NY
112,Primary,NY
113,Primary,NY
114,Primary,NY
115,Primary,NY
116,Primary,NY
117,Primary,NY
118,Primary,NY
119,Primary,NY
120,Secondary,NY
121,Secondary,NY
122,Secondary,NY
123,Secondary,NY
124,Primary,NY
125,Primary,NY
126,Primary,NY
127,Primary,NY
128,Secondary,NY
129,Secondary,NY
130,Secondary,NY
131,Secondary,NY
132,Secondary,NY
133,Secondary,NY
134,Secondary,NY
135,Secondary,NY
136,Secondary,NY
137,Secondary,NY
138,Secondary,NY
139,Secondary,NY
140,Secondary,NY
141,Secondary,NY
142,Secondary,NY
143,Secondary,NY
144,Secondary,NY
145,Secondary,NY
146,Secondary,NY
147,Secondary,NY
148,Secondary,NY
149,Secondary,NY
150,Secondary,PA
151,Secondary,PA
152,Secondary,PA
153,Secondary,PA
154,Secondary,PA
155,Secondary,PA
156,Secondary,PA
157,Secondary,PA
158,Secondary,PA
159,Secondary,PA
160,Secondary,PA
161,Secondary,PA
162,Secondary,PA
163,Secondary,PA
164,Secondary,PA
165,Secondary,PA
166,Secondary,PA
167,Secondary,PA
168,Secondary,PA
169,Secondary,PA
170,Primary,PA
171,Primary,PA
172,Primary,PA
173,Primary,PA
174,Primary,PA
175,Primary,PA
176,Primary,PA
177,Secondary,PA
178,Secondary,PA
179,Primary,PA
180,Primary,PA
181,Primary,PA
182,Primary,PA
183,Primary,PA
184,Primary,PA
185,Primary,PA
186,Secondary,PA
187,Primary,PA
188,Secondary,PA
189,Primary,PA
190,Primary,PA
191,Primary,PA
193,Primary,PA
194,Primary,PA
195,Primary,PA
196,Primary,PA
197,Primary,DE
198,Primary,DE
199,Primary,DE
200,Primary,DC
201,Primary,VA
202,Primary,DC
203,Primary,DC
204,Primary,DC
205,Primary,DC
206,Primary,MD
207,Primary,MD
208,Primary,MD
209,Primary,MD
210,Primary,MD
211,Primary,MD
