zip3,pmf,market,market_type,lat,lon,pmf_norm,preferred_fc_zip3,preferred_fc_distance,preferred_fc,distance_bucket
10,0.002021748,Primary,MA,42.22159842,-72.57355816,0.002021749781161557,21,77,MA-021,51-150
11,0.001159576,Primary,MA,42.10577295,-72.58373891,0.0011595770215873562,21,79,MA-021,51-150
12,0.000564768,Secondary,MA,42.39659452,-73.23757603,0.0005647684975610464,21,111,MA-021,51-150
13,0.000148201,Primary,MA,42.57895574,-72.54004426,0.00014820113056519604,21,76,MA-021,51-150
14,0.00074301,Primary,MA,42.56623253,-71.6967241,0.0007430106545923867,21,35,MA-021,<50
15,0.00145698,Primary,MA,42.24197516,-71.76761484,0.0014569812836005111,21,36,MA-021,<50
16,0.000803091,Primary,MA,42.26459123,-71.79338084,0.0008030917075237944,21,37,MA-021,<50
17,0.001189617,Primary,MA,42.33511609,-71.41725034,0.0011896180480535003,21,17,MA-021,<50
18,0.002794798,Primary,MA,42.60905578,-71.20474104,0.0027948004622192074,21,19,MA-021,<50
19,0.002260071,Primary,MA,42.55964044,-70.9448446,0.0022600729911243056,21,16,MA-021,<50
20,0.001605181,Primary,MA,42.18647637,-71.14535043,0.001605182414165707,21,12,MA-021,<50
21,0.005648677,Primary,MA,42.35170427,-71.07717596,0.005648681976488822,21,0,MA-021,<50
22,0.000297404,Primary,MA,42.35386118,-71.06993122,0.00029740426201315485,21,0,MA-021,<50
23,0.001991707,Primary,MA,42.07787459,-70.96676733,0.001991708754695413,21,20,MA-021,<50
24,0.000653889,Primary,MA,42.35635691,-71.1822087,0.0006538895760767165,21,5,MA-021,<50
25,0.000475646,Primary,MA,41.61678456,-70.56772206,0.0004756464190444952,21,57,MA-021,51-150
26,0.000624849,Primary,MA,41.71246484,-70.23067692,0.000624849550492454,21,62,MA-021,51-150
27,0.00217095,Primary,MA,41.77048621,-71.09835991,0.0021709519126086353,21,40,MA-021,<50
28,0.002764757,Primary,RI,41.70319953,-71.46661189,0.0027647594357530633,21,49,MA-021,<50
29,0.001665263,Primary,RI,41.8087759,-71.42421299,0.0016652644670979955,21,42,MA-021,<50
30,0.00145698,Primary,NH,42.84900883,-71.43806364,0.0014569812836005111,21,39,MA-021,<50
31,0.000386525,Primary,NH,42.99436347,-71.4652,0.000386525340528825,21,49,MA-021,<50
32,0.00074301,Primary,NH,43.48417588,-71.60856181,0.0007430106545923867,21,83,MA-021,51-150
33,0.000267363,Primary,NH,43.2209,-71.55933,0.00026736323554701056,21,65,MA-021,51-150
34,0.000178242,Primary,NH,42.93445679,-72.20745802,0.00017824215703134036,21,70,MA-021,51-150
35,0.000119162,Secondary,NH,44.5527,-71.45347544,0.0001191621049818145,21,153,MA-021,151-300
37,0.000297404,Secondary,NH,43.68600566,-72.16861698,0.00029740426201315485,21,107,MA-021,51-150
38,0.001635222,Primary,NH,43.24875168,-71.02708603,0.0016352234406318512,21,62,MA-021,51-150
39,0.000148201,Primary,ME,43.18603846,-70.71189487,0.00014820113056519604,21,61,MA-021,51-150
40,0.001159576,Primary,ME,43.70327886,-70.459,0.0011595770215873562,21,98,MA-021,51-150
41,0.000803091,Primary,ME,43.65348226,-70.26322312,0.0008030917075237944,21,99,MA-021,51-150
42,0.000297404,Secondary,ME,44.27333841,-70.36711325,0.00029740426201315485,21,137,MA-021,51-150
43,0.000208283,Secondary,ME,44.28428242,-69.79427473,0.00020828318349748467,21,148,MA-021,51-150
44,0.000386525,Secondary,ME,45.02228895,-68.79468837,0.000386525340528825,21,217,MA-021,151-300
46,0.000148201,Secondary,ME,44.59146195,-68.03332566,0.00014820113056519604,21,218,MA-021,151-300
47,0.000148201,Tertiary,ME,46.72181325,-68.11694217,0.00014820113056519604,21,335,MA-021,301-600
48,0.000208283,Secondary,ME,44.15387451,-69.11161961,0.00020828318349748467,21,159,MA-021,151-300
49,0.000267363,Secondary,ME,44.70606,-69.65431842,0.00026736323554701056,21,178,MA-021,151-300
50,0.000119162,Secondary,VT,43.7951267,-72.35990682,0.0001191621049818145,21,119,MA-021,51-150
51,0.000119162,Primary,VT,43.28894746,-72.55720508,0.0001191621049818145,21,99,MA-021,51-150
52,8.91e-05,Secondary,VT,43.06891636,-73.12794727,8.910007849716916e-05,21,116,MA-021,51-150
53,8.91e-05,Primary,VT,42.94292113,-72.7295507,8.910007849716916e-05,21,94,MA-021,51-150
54,0.000624849,Secondary,VT,44.54390303,-73.10620947,0.000624849550492454,21,183,MA-021,151-300
56,0.000327445,Secondary,VT,44.3038876,-72.57091405,0.00032744528847929914,21,154,MA-021,151-300
57,0.000356484,Secondary,VT,43.69014437,-73.07828411,0.0003564843140626807,21,137,MA-021,51-150
60,0.002349193,Primary,CT,41.9682,-73.4412,0.0023491950696408566,70,96,NJ-070,51-150
61,0.000773051,Primary,CT,41.5522,-73.0443,0.000773051681058531,70,83,NJ-070,51-150
62,0.000624849,Primary,CT,41.6929,-72.3122,0.000624849550492454,21,78,MA-021,51-150
63,0.001337818,Primary,CT,41.6163,-72.0827,0.0013378191786186963,21,73,MA-021,51-150
64,0.002319152,Primary,CT,41.3877,-72.4336,0.0023191540431747124,21,97,MA-021,51-150
65,0.001011374,Primary,CT,40.75607573,-72.78328693,0.0010113748910212791,70,70,NJ-070,51-150
66,0.000951293,Primary,CT,41.1777,-73.1933,0.0009512938380898713,70,60,NJ-070,51-150
67,0.000862172,Primary,CT,41.5522,-73.0443,0.0008621727595742013,70,83,NJ-070,51-150
68,0.001813464,Primary,CT,41.0788,-73.4713,0.0018134655976631917,70,44,NJ-070,<50
69,0.000356484,Primary,CT,41.1003,-73.549,0.0003564843140626807,70,42,NJ-070,<50
70,0.008117031,Primary,NJ,40.6674,-74.1146,0.008117038151110612,70,0,NJ-070,<50
71,0.001962667,Primary,NJ,40.7339,-74.1617,0.0019626687291111502,70,5,NJ-070,<50
72,0.001337818,Primary,NJ,40.6965,-74.267,0.0013378191786186963,70,8,NJ-070,<50
73,0.000921252,Primary,NJ,40.7148,-74.0371,0.0009212528116237271,70,5,NJ-070,<50
74,0.001218656,Primary,NJ,41.0592,-74.1322,0.001218657073636882,70,27,NJ-070,<50
75,0.000951293,Primary,NJ,40.9125,-74.1653,0.0009512938380898713,70,17,NJ-070,<50
76,0.002021748,Primary,NJ,40.887,-74.0391,0.002021749781161557,70,16,NJ-070,<50
77,0.002260071,Primary,NJ,40.3038,-73.9858,0.0022600729911243056,70,26,NJ-070,<50
78,0.001100496,Primary,NJ,40.672,-74.7507,0.0011004969695378303,70,33,NJ-070,<50
79,0.00071397,Primary,NJ,40.06206193,-74.22597178,0.0007139706290081242,70,42,NJ-070,<50
80,0.004043495,Primary,NJ,39.36192889,-74.75292026,0.004043498562322234,70,96,NJ-070,51-150
81,0.00071397,Primary,NJ,39.93994576,-75.10335695,0.0007139706290081242,70,72,NJ-070,51-150
82,0.000653889,Primary,NJ,39.0817,-74.8214,0.0006538895760767165,70,116,NJ-070,51-150
83,0.00151606,Primary,NJ,39.47426061,-75.01237929,0.0015160613356500368,70,95,NJ-070,51-150
84,0.000416566,Primary,NJ,39.3365,-74.4828,0.00041656636699496935,70,94,NJ-070,51-150
85,0.000921252,Primary,NJ,39.89411341,-74.45477726,0.0009212528116237271,70,56,NJ-070,51-150
86,0.000981334,Primary,NJ,40.22932944,-74.72748806,0.0009813348645560157,70,44,NJ-070,<50
87,0.001605181,Primary,NJ,40.03073867,-74.191903,0.001605182414165707,70,44,NJ-070,<50
88,0.003626929,Primary,NJ,40.53162924,-74.5131388,0.0036269321953272646,70,23,NJ-070,<50
89,0.000267363,Primary,NJ,40.48942037,-74.44261806,0.00026736323554701056,70,21,NJ-070,<50
100,0.00663001,Primary,NY,40.74525552,-73.98520233,0.006630015841043957,70,9,NJ-070,<50
101,0.000297404,Primary,NY,40.74727355,-73.9830577,0.00029740426201315485,70,9,NJ-070,<50
103,0.003359566,Primary,NY,40.60260336,-74.1228694,0.003359568959780254,70,4,NJ-070,<50
104,0.006214445,Primary,NY,40.84227184,-73.88505434,0.006214450474930869,70,17,NJ-070,<50
105,0.002051788,Primary,NY,41.11518994,-73.78099939,0.002051789807626821,70,35,NJ-070,<50
107,0.000445606,Primary,NY,40.94393272,-73.86919228,0.00044560639257923185,70,23,NJ-070,<50
108,0.000505687,Primary,NY,40.93233725,-73.78483333,0.0005056874455106396,70,25,NJ-070,<50
109,0.002110869,Primary,NY,41.211135,-74.11537659,0.0021108708596772273,70,38,NJ-070,<50
110,0.000445606,Primary,NY,40.74237028,-73.67615728,0.00044560639257923185,70,24,NJ-070,<50
111,0.00151606,Primary,NY,40.7491698,-73.94105235,0.0015160613356500368,70,11,NJ-070,<50
112,0.008890082,Primary,NY,40.66649174,-73.95393848,0.008890089832169143,70,8,NJ-070,<50
113,0.002764757,Primary,NY,40.74291633,-73.86860143,0.0027647594357530633,70,14,NJ-070,<50
114,0.002497394,Primary,NY,40.69842097,-73.81199682,0.0024973962002060525,70,16,NJ-070,<50
115,0.002646597,Primary,NY,40.72620155,-73.62281814,0.0026465993316540115,70,26,NJ-070,<50
116,0.000327445,Primary,NY,40.60472791,-73.81473256,0.00032744528847929914,70,16,NJ-070,<50
117,0.00517303,Primary,NY,40.78807368,-73.30625937,0.0051730345574434455,70,43,NJ-070,<50
118,0.000267363,Primary,NY,40.75869444,-73.53503889,0.00026736323554701056,70,31,NJ-070,<50
119,0.001129535,Primary,NY,40.87343242,-72.71286301,0.0011295359951212119,70,75,NJ-070,51-150
120,0.001367859,Secondary,NY,42.75112857,-73.92861229,0.0013678602050848406,70,144,NJ-070,51-150
121,0.001070455,Secondary,NY,42.69234195,-73.84015671,0.001070455943071686,70,140,NJ-070,51-150
122,0.00071397,Secondary,NY,42.66180847,-73.76956911,0.0007139706290081242,21,139,MA-021,51-150
123,0.00074301,Secondary,NY,42.78925236,-73.90415864,0.0007430106545923867,21,147,MA-021,51-150
124,0.001159576,Primary,NY,42.03563672,-74.11526836,0.0011595770215873562,70,94,NJ-070,51-150
125,0.002408273,Primary,NY,41.69834209,-73.89105316,0.0024082751216903822,70,72,NJ-070,51-150
126,5.91e-05,Primary,NY,41.69560833,-73.9233869,5.9100052067145876e-05,70,72,NJ-070,51-150
127,0.000297404,Primary,NY,41.65489609,-74.71532109,0.00029740426201315485,70,75,NJ-070,51-150
128,0.000445606,Secondary,NY,43.31938779,-73.67786374,0.00044560639257923185,21,148,MA-021,51-150
129,0.000624849,Secondary,NY,44.58697813,-73.8274599,0.000624849550492454,21,207,MA-021,151-300
130,0.000803091,Secondary,NY,42.99775466,-76.20254689,0.0008030917075237944,70,194,NJ-070,151-300
131,0.000238324,Secondary,NY,43.06662667,-76.29617611,0.000238324209963629,70,200,NJ-070,151-300
132,0.0013979,Secondary,NY,43.05455039,-76.14863619,0.0013979012315509852,70,195,NJ-070,151-300
133,0.000297404,Secondary,NY,43.12366951,-75.23849512,0.00029740426201315485,70,179,NJ-070,151-300
134,0.000921252,Secondary,NY,43.10408259,-75.33231194,0.0009212528116237271,70,180,NJ-070,151-300
135,8.91e-05,Secondary,NY,43.10318462,-75.22635192,8.910007849716916e-05,70,178,NJ-070,151-300
136,0.001367859,Secondary,NY,44.2923,-75.55557203,0.0013678602050848406,70,261,NJ-070,151-300
137,0.000416566,Secondary,NY,42.20430511,-75.71403139,0.00041656636699496935,70,135,NJ-070,51-150
138,0.00071397,Secondary,NY,42.31484412,-75.62288235,0.0007139706290081242,70,138,NJ-070,51-150
139,0.000327445,Secondary,NY,42.10401583,-75.90619784,0.00032744528847929914,70,136,NJ-070,51-150
140,0.001129535,Secondary,NY,42.83957564,-78.68910897,0.0011295359951212119,481,246,MI-481,151-300
141,0.001189617,Secondary,NY,42.89635879,-78.77738187,0.0011896180480535003,481,242,MI-481,151-300
142,0.002853878,Secondary,NY,42.90586967,-78.84116078,0.002853880514268733,481,239,MI-481,151-300
143,0.000267363,Secondary,NY,43.07818571,-79.01328036,0.00026736323554701056,481,233,MI-481,151-300
144,0.001100496,Secondary,NY,43.01512782,-77.55959839,0.0011004969695378303,70,241,NJ-070,151-300
145,0.000921252,Secondary,NY,43.02661111,-77.4711828,0.0009212528116237271,70,238,NJ-070,151-300
146,0.002616556,Secondary,NY,43.15380025,-77.61061104,0.002616558305187867,70,249,NJ-070,151-300
147,0.000803091,Secondary,NY,42.19690941,-78.9368995,0.0008030917075237944,481,232,MI-481,151-300
148,0.000803091,Secondary,NY,42.29343289,-76.99774497,0.0008030917075237944,70,187,NJ-070,151-300
149,0.000178242,Secondary,NY,42.09806724,-76.79182759,0.00017824215703134036,70,171,NJ-070,151-300
150,0.001040414,Secondary,PA,40.48827386,-80.06192407,0.0010404149166055416,481,215,MI-481,151-300
151,0.001576142,Secondary,PA,40.44208,-79.96457029,0.0015761433885823255,481,221,MI-481,151-300
152,0.002260071,Secondary,PA,40.44167781,-79.98308384,0.0022600729911243056,481,221,MI-481,151-300
153,0.000564768,Secondary,PA,40.12427185,-80.16128992,0.0005647684975610464,481,227,MI-481,151-300
154,0.000119162,Secondary,PA,39.95365,-79.74857363,0.0001191621049818145,481,251,MI-481,151-300
155,0.000267363,Secondary,PA,40.00922679,-78.83279464,0.00026736323554701056,70,253,NJ-070,151-300
156,0.00071397,Secondary,PA,40.33140295,-79.58745574,0.0007139706290081242,481,242,MI-481,151-300
157,0.000119162,Secondary,PA,40.69903272,-79.0433963,0.0001191621049818145,481,254,MI-481,151-300
158,0.000148201,Secondary,PA,41.23524105,-78.77409789,0.00014820113056519604,70,247,NJ-070,151-300
