preferred_fc,market_type,distance_bucket,demand_share
MA-021,Primary,<50,0.02788892457014255
MA-021,Primary,51-150,0.01385481820609484
MA-021,Primary,151-300,0.0
MA-021,Primary,301-600,0.0
MA-021,Primary,601-1000,0.0
MA-021,Primary,1001-1400,0.0
MA-021,Primary,1401-1800,0.0
MA-021,Primary,>1800,0.0
MA-021,Secondary,<50,0.0
MA-021,Secondary,51-150,0.0038351943788062478
MA-021,Secondary,151-300,0.002706679384584538
MA-021,Secondary,301-600,0.0
MA-021,Secondary,601-1000,0.0
MA-021,Secondary,1001-1400,0.0
MA-021,Secondary,1401-1800,0.0
MA-021,Secondary,>1800,0.0
MA-021,Tertiary,<50,0.0
MA-021,Tertiary,51-150,0.0
MA-021,Tertiary,151-300,0.0
MA-021,Tertiary,301-600,0.00014820113056519604
MA-021,Tertiary,601-1000,0.0
MA-021,Tertiary,1001-1400,0.0
MA-021,Tertiary,1401-1800,0.0
MA-021,Tertiary,>1800,0.0
NJ-070,Primary,<50,0.07539953242698808
NJ-070,Primary,51-150,0.04947530258774158
NJ-070,Primary,151-300,0.03282163391585948
NJ-070,Primary,301-600,0.0
NJ-070,Primary,601-1000,0.0
NJ-070,Primary,1001-1400,0.0
NJ-070,Primary,1401-1800,0.0
NJ-070,Primary,>1800,0.0
NJ-070,Secondary,<50,0.0
NJ-070,Secondary,51-150,0.005056876455108157
NJ-070,Secondary,151-300,0.012786303264733177
NJ-070,Secondary,301-600,0.0
NJ-070,Secondary,601-1000,0.0
NJ-070,Secondary,1001-1400,0.0
NJ-070,Secondary,1401-1800,0.0
NJ-070,Secondary,>1800,0.0
NJ-070,Tertiary,<50,0.0
NJ-070,Tertiary,51-150,0.0
NJ-070,Tertiary,151-300,0.0
NJ-070,Tertiary,301-600,0.0
NJ-070,Tertiary,601-1000,0.0
NJ-070,Tertiary,1001-1400,0.0
NJ-070,Tertiary,1401-1800,0.0
NJ-070,Tertiary,>1800,0.0
MI-481,Primary,<50,0.019057915790023812
MI-481,Primary,51-150,0.010792675508347125
MI-481,Primary,151-300,0.014777074018602211
MI-481,Primary,301-600,0.0
MI-481,Primary,601-1000,0.0
MI-481,Primary,1001-1400,0.0
MI-481,Primary,1401-1800,0.0
MI-481,Primary,>1800,0.0
MI-481,Secondary,<50,0.0
MI-481,Secondary,51-150,0.016175997251053578
MI-481,Secondary,151-300,0.0224795488044825
MI-481,Secondary,301-600,0.0
MI-481,Secondary,601-1000,0.0
MI-481,Secondary,1001-1400,0.0
MI-481,Secondary,1401-1800,0.0
MI-481,Secondary,>1800,0.0
MI-481,Tertiary,<50,0.0
MI-481,Tertiary,51-150,0.0
MI-481,Tertiary,151-300,0.0
MI-481,Tertiary,301-600,0.0
MI-481,Tertiary,601-1000,0.0
MI-481,Tertiary,1001-1400,0.0
MI-481,Tertiary,1401-1800,0.0
MI-481,Tertiary,>1800,0.0
NC-275,Primary,<50,0.006600976815460575
NC-275,Primary,51-150,0.010436191194284444
NC-275,Primary,151-300,0.002111870860558228
NC-275,Primary,301-600,0.0
