market_type,distance_bucket,demand_share
Primary,<50,0.3846500738767151
Primary,51-150,0.16266714230975238
Primary,151-300,0.14631294390170357
Primary,301-600,0.01718534714029083
Primary,601-1000,0.0
Primary,1001-1400,0.0
Primary,1401-1800,0.0
Primary,>1800,0.0
Secondary,<50,0.0
Secondary,51-150,0.1034716441585185
Secondary,151-300,0.1292793908951434
Secondary,301-600,0.043319916164846144
Secondary,601-1000,0.0008030917075237945
Secondary,1001-1400,0.0
Secondary,1401-1800,0.0
Secondary,>1800,0.0
Tertiary,<50,0.0
Tertiary,51-150,0.0
Tertiary,151-300,0.0
Tertiary,301-600,0.011537399164448665
Tertiary,601-1000,0.0007730506810576501
Tertiary,1001-1400,0.0
Tertiary,1401-1800,0.0
Tertiary,>1800,0.0
