bucket,demand,demand_share,market_type
<50,0.0,0.0,AL
51-150,0.004311862798751126,0.49319100784567654,AL
151-300,0.003559747936137932,0.4071640852786249,AL
301-600,0.0008473916465520407,0.0969246842279061,AL
601-1000,2.3782320952224762e-05,0.0027202226477925726,AL
1001-1400,0.0,0.0,AL
1401-1800,0.0,0.0,AL
>1800,0.0,0.0,AL
<50,0.0,0.0,AR
51-150,0.0,0.0,AR
151-300,0.004046720715160951,0.6049728371083118,AR
301-600,0.0025218634003330844,0.37701115631312854,AR
601-1000,0.00012051077759856651,0.018016006578559715,AR
1001-1400,0.0,0.0,AR
1401-1800,0.0,0.0,AR
>1800,0.0,0.0,AR
<50,0.025986337893963686,0.8316023694715962,AZ
51-150,0.004430023902851059,0.14176750835224464,AZ
151-300,0.0007747049491817269,0.02479173764343868,AZ
301-600,5.744678394394999e-05,0.0018383845327205077,AZ
601-1000,0.0,0.0,AZ
1001-1400,0.0,0.0,AZ
1401-1800,0.0,0.0,AZ
>1800,0.0,0.0,AZ
<50,0.06838799724982558,0.5777576482521721,CA
51-150,0.046073655790890754,0.38924092072593924,CA
151-300,0.0037190575764897253,0.03141946021986492,CA
301-600,0.00018725466497135986,0.0015819708020237014,CA
601-1000,0.0,0.0,CA
1001-1400,0.0,0.0,CA
1401-1800,0.0,0.0,CA
>1800,0.0,0.0,CA
<50,0.04141732248866111,0.8452577900089003,CO
51-150,0.006217356277490881,0.1268857693118296,CO
151-300,0.0012772361752450704,0.026066239001872486,CO
301-600,8.771922728063923e-05,0.0017902016773976748,CO
601-1000,0.0,0.0,CO
1001-1400,0.0,0.0,CO
1401-1800,0.0,0.0,CO
>1800,0.0,0.0,CO
<50,0.0021699499117258723,0.17501203740669496,CT
51-150,0.010228911011670602,0.824987962593305,CT
151-300,0.0,0.0,CT
301-600,0.0,0.0,CT
601-1000,0.0,0.0,CT
1001-1400,0.0,0.0,CT
1401-1800,0.0,0.0,CT
>1800,0.0,0.0,CT
<50,0.0,0.0,DC
51-150,0.0,0.0,DC
151-300,0.0025712164252416707,0.9199999999999999,DC
301-600,0.0002235840369775366,0.08,DC
601-1000,0.0,0.0,DC
1001-1400,0.0,0.0,DC
1401-1800,0.0,0.0,DC
>1800,0.0,0.0,DC
<50,0.0,0.0,DE
51-150,0.0038528389943511547,0.9391261829460765,DE
151-300,0.0002497396200206053,0.06087381705392345,DE
301-600,0.0,0.0,DE
601-1000,0.0,0.0,DE
1001-1400,0.0,0.0,DE
1401-1800,0.0,0.0,DE
>1800,0.0,0.0,DE
<50,0.01685892685271456,0.24546210860026027,FL
51-150,0.010525313272800995,0.15324614740848957,FL
151-300,0.03716834434531137,0.541162569592125,FL
301-600,0.00412981603836793,0.06012917439912501,FL
601-1000,0.0,0.0,FL
1001-1400,0.0,0.0,FL
1401-1800,0.0,0.0,FL
>1800,0.0,0.0,FL
<50,0.01896879471150814,0.6766082287281464,GA
51-150,0.0042922357814597235,0.15310208653452897,GA
151-300,0.004368340448507936,0.1558167051886175,GA
301-600,0.0004057517574672984,0.014472979548707127,GA
601-1000,0.0,0.0,GA
1001-1400,0.0,0.0,GA
1401-1800,0.0,0.0,GA
>1800,0.0,0.0,GA
<50,0.0,0.0,IA
51-150,0.0,0.0,IA
151-300,0.0036931649536783243,0.46171296887818286,IA
301-600,0.004010932574107788,0.5014397163378964,IA
601-1000,0.00029473551918580195,0.03684731478392073,IA
1001-1400,0.0,0.0,IA
1401-1800,0.0,0.0,IA
>1800,0.0,0.0,IA
<50,0.0,0.0,ID
51-150,0.0,0.0,ID
151-300,0.003854542295851763,0.5891185274034784,ID
301-600,0.00255275108897371,0.3901560410900868,ID
601-1000,0.00013560437946745835,0.02072543150643477,ID
1001-1400,0.0,0.0,ID
1401-1800,0.0,0.0,ID
>1800,0.0,0.0,ID
<50,0.025896216814567018,0.7192202107141679,IL
51-150,0.00564357447198911,0.15673999217684462,IL
151-300,0.0035828715565098413,0.09950772556033265,IL
301-600,0.0008580165059125419,0.023829844204560514,IL
601-1000,2.528437227553198e-05,0.0007022273440943009,IL
1001-1400,0.0,0.0,IL
1401-1800,0.0,0.0,IL
>1800,0.0,0.0,IL
<50,0.002854882515151496,0.14749096728383687,IN
51-150,0.0050191257218497615,0.25930163630412095,IN
151-300,0.010662940377383806,0.550876395789885,IN
301-600,0.0008193724385337852,0.042331000622157354,IN
601-1000,0.0,0.0,IN
1001-1400,0.0,0.0,IN
1401-1800,0.0,0.0,IN
>1800,0.0,0.0,IN
<50,0.0,0.0,KS
51-150,0.0,0.0,KS
151-300,0.00040017905255774534,0.06732329722041933,KS
301-600,0.005173751931289738,0.8703954811944491,KS
601-1000,0.0003702082529391852,0.06228122158513154,KS
1001-1400,0.0,0.0,KS
1401-1800,0.0,0.0,KS
>1800,0.0,0.0,KS
<50,0.0,0.0,KY
51-150,0.0,0.0,KY
151-300,0.01104709003248632,0.8540049658245884,KY
301-600,0.0018414233056272657,0.14235284066358594,KY
601-1000,4.711405817415192e-05,0.0036421935118255413,KY
1001-1400,0.0,0.0,KY
1401-1800,0.0,0.0,KY
>1800,0.0,0.0,KY
<50,0.0,0.0,LA
51-150,0.000802992407436311,0.07299293488353871,LA
151-300,0.005459224759577014,0.4962498196746809,LA
301-600,0.004453355473406173,0.4048151427999271,LA
601-1000,0.0002853880514268733,0.02594210264185342,LA
1001-1400,0.0,0.0,LA
1401-1800,0.0,0.0,LA
>1800,0.0,0.0,LA
<50,0.021615394043162154,0.8122977300063889,MA
51-150,0.004869922690401891,0.18300971700173352,MA
151-300,0.00012486971001021452,0.004692552991877577,MA
301-600,0.0,0.0,MA
601-1000,0.0,0.0,MA
1001-1400,0.0,0.0,MA
1401-1800,0.0,0.0,MA
>1800,0.0,0.0,MA
<50,0.0,0.0,MD
51-150,0.0004551187009595756,0.02399302158525974,MD
151-300,0.01711467356302741,0.902254140198172,MD
301-600,0.0013990024475211565,0.0737528382165683,MD
601-1000,0.0,0.0,MD
1001-1400,0.0,0.0,MD
1401-1800,0.0,0.0,MD
>1800,0.0,0.0,MD
<50,0.0,0.0,ME
51-150,0.0024054703192193517,0.6371885138729071,ME
151-300,0.0011204225870922993,0.2967903604857901,ME
301-600,0.00023935834420803461,0.06340397817857654,ME
601-1000,9.880075371013069e-06,0.0026171474627262083,ME
1001-1400,0.0,0.0,ME
1401-1800,0.0,0.0,ME
>1800,0.0,0.0,ME
<50,0.017809217689920786,0.5683016735335541,MI
51-150,0.01149192592438674,0.36671351031038296,MI
151-300,0.0018496153295111055,0.05902221565573736,MI
301-600,0.00017450357040431222,0.005568502380341903,MI
601-1000,1.2350094213766336e-05,0.00039409811998382567,MI
1001-1400,0.0,0.0,MI
1401-1800,0.0,0.0,MI
>1800,0.0,0.0,MI
<50,0.0,0.0,MN
51-150,0.0,0.0,MN
151-300,0.0004551187009595756,0.037062761891305675,MN
301-600,0.010574704165361989,0.8611549947859016,MN
601-1000,0.0012282235511991478,0.10002084496068901,MN
1001-1400,2.1629400873683992e-05,0.001761398362103675,MN
1401-1800,0.0,0.0,MN
>1800,0.0,0.0,MN
<50,0.0,0.0,MO
51-150,0.0,0.0,MO
151-300,0.006582532899211485,0.3442928330164928,MO
301-600,0.01180098531273949,0.6172387936254452,MO
601-1000,0.0007354766318834842,0.03846837335806189,MO
1001-1400,0.0,0.0,MO
1401-1800,0.0,0.0,MO
>1800,0.0,0.0,MO
<50,0.0,0.0,MS
51-150,0.0,0.0,MS
151-300,0.000802991507435518,0.18757799000522557,MS
301-600,0.003252641767363112,0.7598137704812666,MS
601-1000,0.00022520749662209027,0.05260823951350768,MS
1001-1400,0.0,0.0,MS
1401-1800,0.0,0.0,MS
>1800,0.0,0.0,MS
<50,0.0,0.0,MT
51-150,0.0,0.0,MT
151-300,0.0,0.0,MT
301-600,0.002400374221396356,0.9277184048448252,MT
601-1000,0.00018702105809888554,0.07228159515517486,MT
1001-1400,0.0,0.0,MT
1401-1800,0.0,0.0,MT
>1800,0.0,0.0,MT
<50,0.006600976815460575,0.2213566401448881,NC
51-150,0.021254301525039647,0.7127400846477413,NC
151-300,0.001913977211213923,0.06418316207320836,NC
301-600,5.129472019064849e-05,0.0017201131341622298,NC
601-1000,0.0,0.0,NC
1001-1400,0.0,0.0,NC
1401-1800,0.0,0.0,NC
>1800,0.0,0.0,NC
<50,0.0,0.0,ND
51-150,0.0,0.0,ND
151-300,0.0,0.0,ND
301-600,0.0012851282321979726,0.47480252385231075,ND
601-1000,0.0013361468257817174,0.49365181561172305,ND
1001-1400,8.53833265863471e-05,0.03154566053596629,ND
1401-1800,0.0,0.0,ND
>1800,0.0,0.0,ND
<50,0.0,0.0,NE
51-150,0.0,0.0,NE
151-300,0.0001874359651310853,0.04738911573225461,NE
301-600,0.0035086773244780564,0.8870929102669448,NE
601-1000,0.0002591401949691785,0.06551797400080063,NE
1001-1400,0.0,0.0,NE
1401-1800,0.0,0.0,NE
>1800,0.0,0.0,NE
<50,0.0018435066241293363,0.36261572790066227,NH
51-150,0.0028091193748341695,0.5525506952525497,NH
151-300,0.00041937026946520744,0.08248967133158192,NH
301-600,1.191621049818145e-05,0.0023439055152060183,NH
601-1000,0.0,0.0,NH
1001-1400,0.0,0.0,NH
1401-1800,0.0,0.0,NH
>1800,0.0,0.0,NH
<50,0.027085832862618755,0.7661955131674907,NJ
51-150,0.007438715353508228,0.2104240381492585,NJ
151-300,0.0008265239281675809,0.023380448683250944,NJ
301-600,0.0,0.0,NJ
601-1000,0.0,0.0,NJ
1001-1400,0.0,0.0,NJ
1401-1800,0.0,0.0,NJ
>1800,0.0,0.0,NJ
<50,0.0,0.0,NM
51-150,0.0,0.0,NM
151-300,0.0025423195397835147,0.3669958727500309,NM
301-600,0.004179930582518843,0.603392786847193,NM
601-1000,0.00020512898071863204,0.029611340402776062,NM
1001-1400,0.0,0.0,NM
1401-1800,0.0,0.0,NM
>1800,0.0,0.0,NM
<50,0.0,0.0,NV
51-150,0.0,0.0,NV
151-300,0.012953415245292164,0.924910625582484,NV
301-600,0.001051630093152779,0.07508937441751597,NV
601-1000,0.0,0.0,NV
1001-1400,0.0,0.0,NV
1401-1800,0.0,0.0,NV
>1800,0.0,0.0,NV
<50,0.04614374965264345,0.6185535353927482,NY
51-150,0.010269984047855948,0.13766837305265467,NY
151-300,0.016783488002919598,0.22498140958583682,NY
301-600,0.001402222018690932,0.018796681968760293,NY
601-1000,0.0,0.0,NY
1001-1400,0.0,0.0,NY
1401-1800,0.0,0.0,NY
>1800,0.0,0.0,NY
<50,0.0012486981001030263,0.03749699298137605,OH
51-150,0.01454938511800829,0.4369015950358871,OH
151-300,0.016135698405550295,0.48453679060823435,OH
301-600,0.0013675047147716538,0.04106462137450247,OH
601-1000,0.0,0.0,OH
1001-1400,0.0,0.0,OH
1401-1800,0.0,0.0,OH
>1800,0.0,0.0,OH
<50,0.0,0.0,OK
51-150,0.00040364815561402513,0.04041096164697016,OK
151-300,0.008627631000942913,0.8637494328518632,OK
301-600,0.0009573016433827479,0.09583960550116676,OK
601-1000,0.0,0.0,OK
1001-1400,0.0,0.0,OK
1401-1800,0.0,0.0,OK
>1800,0.0,0.0,OK
<50,0.0,0.0,OR
51-150,0.006898381077473729,0.5949564613520112,OR
151-300,0.0030768021106626596,0.2653612891896992,OR
301-600,0.0015482673240235128,0.13353156892650436,OR
601-1000,7.13157028291342e-05,0.006150680531785231,OR
1001-1400,0.0,0.0,OR
1401-1800,0.0,0.0,OR
>1800,0.0,0.0,OR
<50,0.0,0.0,PA
51-150,0.02441520390979465,0.5873211552485936,PA
151-300,0.015764140548207826,0.379215069121759,PA
301-600,0.00139110416556277,0.033463775629647356,PA
601-1000,0.0,0.0,PA
1001-1400,0.0,0.0,PA
1401-1800,0.0,0.0,PA
>1800,0.0,0.0,PA
<50,0.004430023902851059,1.0,RI
51-150,0.0,0.0,RI
151-300,0.0,0.0,RI
301-600,0.0,0.0,RI
601-1000,0.0,0.0,RI
1001-1400,0.0,0.0,RI
1401-1800,0.0,0.0,RI
>1800,0.0,0.0,RI
<50,0.0,0.0,SC
51-150,0.004923395837511734,0.3754926089589394,SC
151-300,0.007717169823826616,0.5885653574408435,SC
301-600,0.0004712658901852493,0.03594203360021721,SC
601-1000,0.0,0.0,SC
1001-1400,0.0,0.0,SC
1401-1800,0.0,0.0,SC
>1800,0.0,0.0,SC
<50,0.0,0.0,SD
51-150,0.0,0.0,SD
151-300,0.0,0.0,SD
301-600,0.0021501287142633974,0.915270848852999,SD
601-1000,0.0001990433553571961,0.08472915114700086,SD
1001-1400,0.0,0.0,SD
1401-1800,0.0,0.0,SD
>1800,0.0,0.0,SD
<50,0.0,0.0,TN
51-150,0.003544619822810064,0.1886384028640801,TN
151-300,0.011200005833871807,0.5960445176586058,TN
301-600,0.0038857340566650377,0.20679189956759797,TN
601-1000,0.00016019284112989306,0.008525179909716255,TN
1001-1400,0.0,0.0,TN
1401-1800,0.0,0.0,TN
>1800,0.0,0.0,TN
<50,0.032765557866456484,0.5068943401569818,TX
51-150,0.011394037838147337,0.17626964617025737,TX
151-300,0.01420789486715538,0.21980097280990876,TX
301-600,0.005942950892406404,0.09193947447712048,TX
601-1000,0.0003293764835140153,0.0050955663857317375,TX
1001-1400,0.0,0.0,TX
1401-1800,0.0,0.0,TX
>1800,0.0,0.0,TX
<50,0.009276615172697967,0.8478066403518952,UT
51-150,0.0005056874455106396,0.04621569034234488,UT
151-300,0.0010731197454184958,0.09807435461332548,UT
301-600,8.647727618648033e-05,0.007903314692434306,UT
601-1000,0.0,0.0,UT
1001-1400,0.0,0.0,UT
1401-1800,0.0,0.0,UT
>1800,0.0,0.0,UT
<50,0.0,0.0,VA
51-150,0.01007139447289853,0.3897879694233089,VA
151-300,0.014590121173896756,0.5646739109779418,VA
301-600,0.0011766201166023228,0.04553811959874934,VA
601-1000,0.0,0.0,VA
1001-1400,0.0,0.0,VA
1401-1800,0.0,0.0,VA
>1800,0.0,0.0,VA
<50,0.0,0.0,VT
51-150,0.0006957078129185832,0.4032379258819615,VT
151-300,0.0009819809651252303,0.5691641811114807,VT
301-600,4.761474194858766e-05,0.027597893006557694,VT
601-1000,0.0,0.0,VT
1001-1400,0.0,0.0,VT
1401-1800,0.0,0.0,VT
>1800,0.0,0.0,VT
<50,0.013290072708554057,0.6376489735961759,WA
51-150,0.0052030755839095905,0.24964015460109845,WA
151-300,0.002114238662644262,0.1014397846224531,WA
301-600,0.00023491540696047355,0.011271087180272565,WA
601-1000,0.0,0.0,WA
1001-1400,0.0,0.0,WA
1401-1800,0.0,0.0,WA
>1800,0.0,0.0,WA
<50,0.0,0.0,WI
51-150,0.007624869717510222,0.5750726094066072,WI
151-300,0.004472324640118008,0.3373056191373122,WI
301-600,0.001080079834883668,0.08146032024489809,WI
601-1000,8.169448863951116e-05,0.006161451211182498,WI
1001-1400,0.0,0.0,WI
1401-1800,0.0,0.0,WI
>1800,0.0,0.0,WI
<50,0.0,0.0,WV
51-150,0.0,0.0,WV
151-300,0.004908397009297766,0.9172492954395913,WV
301-600,0.00044281670512151723,0.08275070456040869,WV
601-1000,0.0,0.0,WV
1001-1400,0.0,0.0,WV
1401-1800,0.0,0.0,WV
>1800,0.0,0.0,WV
<50,0.0,0.0,WY
51-150,0.0004346501829268112,0.4298143881334982,WY
151-300,0.0003564485140311409,0.35248276885043267,WY
301-600,0.0002033213905547165,0.2010592943669433,WY
601-1000,1.6830803399366368e-05,0.016643548649125907,WY
1001-1400,0.0,0.0,WY
1401-1800,0.0,0.0,WY
>1800,0.0,0.0,WY
