zip3,pmf,market,market_type,lat,lon,pmf_norm,preferred_fc_zip3,preferred_fc_distance,preferred_fc,preferred_bucket,candidate_fc_zip3_set,candidate_fc_name_set,candidate_count,cluster_id
10,0.002021748,Primary,MA,42.22159842,-72.57355816,0.002021749781161557,303,863,GA-303,601-1000,303,GA-303,1,GA-303
11,0.001159576,Primary,MA,42.10577295,-72.58373891,0.0011595770215873562,303,858,GA-303,601-1000,303,GA-303,1,GA-303
12,0.000564768,Secondary,MA,42.39659452,-73.23757603,0.0005647684975610464,303,845,GA-303,601-1000,303,GA-303,1,GA-303
13,0.000148201,Primary,MA,42.57895574,-72.54004426,0.00014820113056519604,303,880,GA-303,601-1000,303,GA-303,1,GA-303
14,0.00074301,Primary,MA,42.56623253,-71.6967241,0.0007430106545923867,303,913,GA-303,601-1000,303,GA-303,1,GA-303
15,0.00145698,Primary,MA,42.24197516,-71.76761484,0.0014569812836005111,303,897,GA-303,601-1000,303,GA-303,1,GA-303
16,0.000803091,Primary,MA,42.26459123,-71.79338084,0.0008030917075237944,303,897,GA-303,601-1000,303,GA-303,1,GA-303
17,0.001189617,Primary,MA,42.33511609,-71.41725034,0.0011896180480535003,303,915,GA-303,601-1000,303,GA-303,1,GA-303
18,0.002794798,Primary,MA,42.60905578,-71.20474104,0.0027948004622192074,303,935,GA-303,601-1000,303,GA-303,1,GA-303
19,0.002260071,Primary,MA,42.55964044,-70.9448446,0.0022600729911243056,303,944,GA-303,601-1000,303,GA-303,1,GA-303
20,0.001605181,Primary,MA,42.18647637,-71.14535043,0.001605182414165707,303,921,GA-303,601-1000,303,GA-303,1,GA-303
21,0.005648677,Primary,MA,42.35170427,-71.07717596,0.005648681976488822,303,930,GA-303,601-1000,303,GA-303,1,GA-303
22,0.000297404,Primary,MA,42.35386118,-71.06993122,0.00029740426201315485,303,931,GA-303,601-1000,303,GA-303,1,GA-303
23,0.001991707,Primary,MA,42.07787459,-70.96676733,0.001991708754695413,303,924,GA-303,601-1000,303,GA-303,1,GA-303
24,0.000653889,Primary,MA,42.35635691,-71.1822087,0.0006538895760767165,303,926,GA-303,601-1000,303,GA-303,1,GA-303
25,0.000475646,Primary,MA,41.61678456,-70.56772206,0.0004756464190444952,303,925,GA-303,601-1000,303,GA-303,1,GA-303
26,0.000624849,Primary,MA,41.71246484,-70.23067692,0.000624849550492454,303,943,GA-303,601-1000,303,GA-303,1,GA-303
27,0.00217095,Primary,MA,41.77048621,-71.09835991,0.0021709519126086353,303,907,GA-303,601-1000,303,GA-303,1,GA-303
28,0.002764757,Primary,RI,41.70319953,-71.46661189,0.0027647594357530633,303,888,GA-303,601-1000,303,GA-303,1,GA-303
29,0.001665263,Primary,RI,41.8087759,-71.42421299,0.0016652644670979955,303,894,GA-303,601-1000,303,GA-303,1,GA-303
30,0.00145698,Primary,NH,42.84900883,-71.43806364,0.0014569812836005111,303,936,GA-303,601-1000,303,GA-303,1,GA-303
31,0.000386525,Primary,NH,42.99436347,-71.4652,0.000386525340528825,303,941,GA-303,601-1000,303,GA-303,1,GA-303
32,0.00074301,Primary,NH,43.48417588,-71.60856181,0.0007430106545923867,303,956,GA-303,601-1000,303,GA-303,1,GA-303
33,0.000267363,Primary,NH,43.2209,-71.55933,0.00026736323554701056,303,947,GA-303,601-1000,303,GA-303,1,GA-303
34,0.000178242,Primary,NH,42.93445679,-72.20745802,0.00017824215703134036,303,909,GA-303,601-1000,303,GA-303,1,GA-303
35,0.000119162,Secondary,NH,44.5527,-71.45347544,0.0001191621049818145,303,1011,GA-303,1001-1400,303,GA-303,1,GA-303
37,0.000297404,Secondary,NH,43.68600566,-72.16861698,0.00029740426201315485,303,944,GA-303,601-1000,303,GA-303,1,GA-303
38,0.001635222,Primary,NH,43.24875168,-71.02708603,0.0016352234406318512,303,969,GA-303,601-1000,303,GA-303,1,GA-303
39,0.000148201,Primary,ME,43.18603846,-70.71189487,0.00014820113056519604,303,979,GA-303,601-1000,303,GA-303,1,GA-303
40,0.001159576,Primary,ME,43.70327886,-70.459,0.0011595770215873562,303,1011,GA-303,1001-1400,303,GA-303,1,GA-303
41,0.000803091,Primary,ME,43.65348226,-70.26322312,0.0008030917075237944,303,1016,GA-303,1001-1400,303,GA-303,1,GA-303
42,0.000297404,Secondary,ME,44.27333841,-70.36711325,0.00029740426201315485,303,1039,GA-303,1001-1400,303,GA-303,1,GA-303
43,0.000208283,Secondary,ME,44.28428242,-69.79427473,0.00020828318349748467,303,1061,GA-303,1001-1400,303,GA-303,1,GA-303
44,0.000386525,Secondary,ME,45.02228895,-68.79468837,0.000386525340528825,303,1132,GA-303,1001-1400,303,GA-303,1,GA-303
46,0.000148201,Secondary,ME,44.59146195,-68.03332566,0.00014820113056519604,303,1144,GA-303,1001-1400,303,GA-303,1,GA-303
47,0.000148201,Tertiary,ME,46.72181325,-68.11694217,0.00014820113056519604,303,1231,GA-303,1001-1400,303,GA-303,1,GA-303
48,0.000208283,Secondary,ME,44.15387451,-69.11161961,0.00020828318349748467,303,1083,GA-303,1001-1400,303,GA-303,1,GA-303
49,0.000267363,Secondary,ME,44.70606,-69.65431842,0.00026736323554701056,303,1085,GA-303,1001-1400,303,GA-303,1,GA-303
50,0.000119162,Secondary,VT,43.7951267,-72.35990682,0.0001191621049818145,303,942,GA-303,601-1000,303,GA-303,1,GA-303
51,0.000119162,Primary,VT,43.28894746,-72.55720508,0.0001191621049818145,303,911,GA-303,601-1000,303,GA-303,1,GA-303
52,8.91e-05,Secondary,VT,43.06891636,-73.12794727,8.910007849716916e-05,303,880,GA-303,601-1000,303,GA-303,1,GA-303
53,8.91e-05,Primary,VT,42.94292113,-72.7295507,8.910007849716916e-05,303,889,GA-303,601-1000,303,GA-303,1,GA-303
54,0.000624849,Secondary,VT,44.54390303,-73.10620947,0.000624849550492454,303,953,GA-303,601-1000,303,GA-303,1,GA-303
56,0.000327445,Secondary,VT,44.3038876,-72.57091405,0.00032744528847929914,303,959,GA-303,601-1000,303,GA-303,1,GA-303
57,0.000356484,Secondary,VT,43.69014437,-73.07828411,0.0003564843140626807,303,911,GA-303,601-1000,303,GA-303,1,GA-303
60,0.002349193,Primary,CT,41.9682,-73.4412,0.0023491950696408566,303,818,GA-303,601-1000,303,GA-303,1,GA-303
61,0.000773051,Primary,CT,41.5522,-73.0443,0.000773051681058531,303,816,GA-303,601-1000,303,GA-303,1,GA-303
62,0.000624849,Primary,CT,41.6929,-72.3122,0.000624849550492454,303,852,GA-303,601-1000,303,GA-303,1,GA-303
63,0.001337818,Primary,CT,41.6163,-72.0827,0.0013378191786186963,303,859,GA-303,601-1000,303,GA-303,1,GA-303
64,0.002319152,Primary,CT,41.3877,-72.4336,0.0023191540431747124,303,835,GA-303,601-1000,303,GA-303,1,GA-303
65,0.001011374,Primary,CT,40.75607573,-72.78328693,0.0010113748910212791,303,795,GA-303,601-1000,303,GA-303,1,GA-303
66,0.000951293,Primary,CT,41.1777,-73.1933,0.0009512938380898713,303,794,GA-303,601-1000,303,GA-303,1,GA-303
67,0.000862172,Primary,CT,41.5522,-73.0443,0.0008621727595742013,303,816,GA-303,601-1000,303,GA-303,1,GA-303
68,0.001813464,Primary,CT,41.0788,-73.4713,0.0018134655976631917,303,778,GA-303,601-1000,303,GA-303,1,GA-303
69,0.000356484,Primary,CT,41.1003,-73.549,0.0003564843140626807,303,776,GA-303,601-1000,303,GA-303,1,GA-303
70,0.008117031,Primary,NJ,40.6674,-74.1146,0.008117038151110612,303,734,GA-303,601-1000,303,GA-303,1,GA-303
71,0.001962667,Primary,NJ,40.7339,-74.1617,0.0019626687291111502,303,735,GA-303,601-1000,303,GA-303,1,GA-303
72,0.001337818,Primary,NJ,40.6965,-74.267,0.0013378191786186963,303,729,GA-303,601-1000,303,GA-303,1,GA-303
