Network,OTD Promise (Days),Gross Operating Profit,Total Revenue,Total Shipping Cost
1-FC,1,21972952.051464442,278639999.99999994,187007047.9485356
1-FC,2,100954508.8234271,258833836.70658612,93170868.7065125
1-FC,3,113224556.53698221,225267182.6004198,55725830.41333267
1-FC,4,108459044.78942244,179956791.8088696,26508549.067229755
1-FC,5,83979038.4904316,128257710.16216265,12214244.131190374
1-FC,5+,62292108.70860908,92335873.4555765,6959796.383073301
4-FC,1,82704997.56980805,278639999.99999994,126275002.4301919
4-FC,2,131635666.13067965,258833836.70658612,62489711.39925996
4-FC,3,132125918.34397408,225267182.6004198,36824468.60634081
4-FC,4,117843228.12991855,179956791.8088696,17124365.72673358
4-FC,5,86488251.70406193,128257710.16216265,9705030.91756003
4-FC,5+,63552107.57303698,92335873.4555765,5699797.518645413
15-FC,1,132322332.74127305,278639999.99999994,76657667.25872694
15-FC,2,153039646.3107924,258833836.70658612,41085731.219147235
15-FC,3,145108293.20419317,225267182.6004198,23842093.74612175
15-FC,4,123854229.41054685,179956791.8088696,11113364.44610533
15-FC,5,89033821.35461459,128257710.16216265,7159461.267007408
15-FC,5+,65097774.074096605,92335873.4555765,4154131.0175857707
