market_type,OTD Promise (Days),gross_operating_profit
Primary,1,59402582.19856411
Primary,2,90689319.82995415
Primary,3,87188535.29526483
Primary,4,77814813.65981299
Primary,5,53437446.03668797
Primary,5+,40903602.0540178
Secondary,1,22574370.250232827
Secondary,2,39321074.65435765
Secondary,3,43011253.97871427
Secondary,4,37935451.40273754
Secondary,5,31224998.08158393
Secondary,5+,21245681.771669
Tertiary,1,728045.1210111115
Tertiary,2,1625271.6463678402
Tertiary,3,1926129.0699949905
Tertiary,4,2092963.0673680662
Tertiary,5,1825807.585790051
Tertiary,5+,1402823.7473501693
