fc_id,fc_target_max,fc_target_mean
AZ-852,232.90052602962896,226.67598525868945
CA-900,523.7900567253118,509.79115075854446
CA-945,242.99634607208694,236.50198262387983
CO-802,321.82605206999034,313.2248719163426
FL-331,341.328279536213,332.2058793919664
GA-303,477.08286080208586,464.3322596385605
IL-606,658.6977825558006,641.0933087783372
MA-021,278.55890261058954,271.11408796819063
MI-481,478.98929057762405,466.18773783375207
NC-275,330.2128281805192,321.38750156088156
NJ-070,1009.5865708063875,982.6041810329187
TX-750,292.41543484270255,284.60028806197414
TX-770,264.36271374193535,257.29730896138307
UT-841,108.93971441144394,106.02817228018111
WA-980,189.64334363511676,184.5749019938819
